risk_type,country,keyword,query,title,url,domain,language,source_country,published_at,collected_at
operation,Germany,strike,"""Germany"" strike",Euro U17 ( F ) : La France vient à bout de la Norvège et se qualifie pour la finale,https://www.foot-national.com/euro/euro-u17-f-la-france-vient-a-bout-de-la-norvege-et-se-qualifie-pour-la-finale-945762,foot-national.com,French,,20260514T181500Z,2026-05-15T02:02:15.005629
operation,Germany,strike,"""Germany"" strike",聚勒宣布退役 ： 膝盖受伤恐惧成决定因素,https://www.163.com/dy/article/KSR3IM7A0556HFVR.html,163.com,Chinese,,20260513T123000Z,2026-05-15T02:02:15.005631
operation,Germany,strike,"""Germany"" strike",Сильнейшие в Европе . Германия хочет вооружение ВСУ,https://korrespondent.net/ukraine/4878713-sylneishye-v-evrope-hermanyia-khochet-vooruzhenye-vsu,korrespondent.net,Russian,,20260514T221500Z,2026-05-15T02:02:15.005635
operation,Germany,strike,"""Germany"" strike",不滿被動挨打 ！ 沙烏地 「 秘密參戰 」 轟炸伊朗本土 | ETtoday國際新聞,https://www.ettoday.net/news/20260513/3164962.htm,ettoday.net,Chinese,,20260513T021500Z,2026-05-15T02:02:15.005637
operation,Germany,strike,"""Germany"" strike",科贝 ： 弗洛伦蒂诺召开发布会并非为了宣布辞职,https://www.163.com/dy/article/KSP5OB080549BAP0.html,163.com,Chinese,,20260512T171500Z,2026-05-15T02:02:15.005639
operation,Germany,strike,"""Germany"" strike",Фицо назвал идиотским план ЕС по отказу от российских энергоресурсов,https://life.ru/p/1874977,life.ru,Russian,,20260514T040000Z,2026-05-15T02:02:15.005640
operation,Germany,strike,"""Germany"" strike",Ceny hurtowe w Niemczech gwałtownie rosną . Kryzys energetyczny uderza w gospodarkę i rząd,https://www.pb.pl/ceny-hurtowe-w-niemczech-gwaltownie-rosna-kryzys-energetyczny-uderza-w-gospodarke-i-rzad-1261093,pb.pl,Polish,,20260513T101500Z,2026-05-15T02:02:15.005642
operation,Germany,strike,"""Germany"" strike",  Devoid of all military logic : Zelenskyy fumes as Russia targets Ukraine civilians,https://www.sbs.com.au/news/article/zelenskyy-fumes-as-russia-targets-ukraine-civilians/8qovphhc2,sbs.com.au,English,,20260513T011500Z,2026-05-15T02:02:15.005644
operation,Germany,strike,"""Germany"" strike",每体 ： 拜仁与安东尼 - 戈登达协议 ， 巴萨引援希望降温,https://www.163.com/dy/article/KSUARMB10549BAP0.html,163.com,Chinese,,20260514T181500Z,2026-05-15T02:02:15.005646
operation,Germany,strike,"""Germany"" strike",新能源出海再升级 ： DEKRA德凯与吉曜通行达成战略合作 - 美通社PR - Newswire,https://www.prnasia.com/story/533007-1.shtml,prnasia.com,Chinese,,20260514T094500Z,2026-05-15T02:02:15.005648
operation,Germany,strike,"""Germany"" strike",捨棄昂貴雷射 ， 德國研發 「 流星錘 」 反無人機武器,https://technews.tw/2026/05/13/kit-is-developing-cuas-that-can-shoot-bolas/,technews.tw,Chinese,,20260513T041500Z,2026-05-15T02:02:15.005650
operation,Germany,strike,"""Germany"" strike",Israel qualifies for Eurovision final,https://www.politico.eu/article/israel-qualifies-eurovision-final-boycott-controversy/,politico.eu,English,,20260513T000000Z,2026-05-15T02:02:15.005651
operation,China,strike,"""China"" strike",谷歌  數智服務  落子大灣區 中國跨境電商出海成本直降30 % | 頭條,https://www.hkcna.hk/docDetail.jsp?id=101318424&channel=2803,hkcna.hk,Chinese,,20260514T040000Z,2026-05-15T04:06:38.868167
operation,China,strike,"""China"" strike",三星工会罢工风波引市场混乱 ， DDR4 现货价格单周暴涨 20 % ,https://finance.sina.com.cn/tech/roll/2026-05-14/doc-inhxvpqt4019258.shtml,finance.sina.com.cn,Chinese,,20260514T021500Z,2026-05-15T04:06:38.868169
operation,China,strike,"""China"" strike",三星罷工恐衝擊韓國經濟 ， 外界關注緊急調整權,https://technews.tw/2026/05/13/samsung-strike-impact-south-korea-economy-emergency-adjustment-power/,technews.tw,Chinese,,20260514T033000Z,2026-05-15T04:06:38.868171
operation,China,strike,"""China"" strike",谷歌  數智服務  落子大灣區 中國跨境電商出海成本直降30 % | 大灣區,https://www.hkcna.hk/docDetail.jsp?id=101318424&channel=5773,hkcna.hk,Chinese,,20260514T040000Z,2026-05-15T04:06:38.868173
operation,China,strike,"""China"" strike",三星5万人将罢工 内存硬盘遭核弹级暴击 ！ 中国华强北DDR4报价急涨20 % ,https://finance.sina.com.cn/tech/discovery/2026-05-14/doc-inhxvtwr4007431.shtml,finance.sina.com.cn,Chinese,,20260514T050000Z,2026-05-15T04:06:38.868175
operation,China,strike,"""China"" strike",讚沈伯洋無限城論壇 賴清德 ： 台北不應只面向中國 | 政治,https://www.cna.com.tw:443/news/aipl/202605130227.aspx,cna.com.tw,Chinese,,20260513T090000Z,2026-05-15T04:06:38.868176
operation,China,strike,"""China"" strike",讚沈伯洋無限城論壇 賴清德 ： 台北不應只面向中國 | 政治,https://www.cna.com.tw/news/aipl/202605130227.aspx,cna.com.tw,Chinese,,20260513T110000Z,2026-05-15T04:06:38.868178
operation,China,strike,"""China"" strike",讚沈伯洋無限城論壇 賴清德 ： 台北不應只面向中國 - 政治,https://news.cts.com.tw/cna/politics/202605/202605133031017.html,news.cts.com.tw,Chinese,,20260513T091500Z,2026-05-15T04:06:38.868180
operation,China,strike,"""China"" strike",伊朗战火未熄 ， 特朗普急飞中国 ！ 中东局势再添变数 _ 军事频道 _ 中华网,https://military.china.com/news/13004177/20260514/49493016.html,military.china.com,Chinese,,20260514T031500Z,2026-05-15T04:06:38.868184
operation,China,strike,"""China"" strike",谷歌落子廣州 大灣區將打造  數智化出海  實驗場 | 頭條,https://www.hkcna.hk/docDetail.jsp?id=101318571&channel=2803,hkcna.hk,Chinese,,20260513T140000Z,2026-05-15T04:06:38.868186
operation,China,strike,"""China"" strike",谷歌落子廣州 大灣區將打造  數智化出海  實驗場 | 大灣區,https://www.hkcna.hk/docDetail.jsp?id=101318571&channel=5773,hkcna.hk,Chinese,,20260514T011500Z,2026-05-15T04:06:38.868190
operation,China,strike,"""China"" strike","Политолог Дудаков объяснил , зачем Трамп полетел в Китай",https://www.vesti.ru/ns/politolog-dudakov-obyasnil-zachem-tramp-poletel-v-kitaj,vesti.ru,Russian,,20260514T021500Z,2026-05-15T04:06:38.868192
operation,China,strike,"""China"" strike",特朗普 ： 习近平主席提议在涉伊朗问题上提供帮助,https://sputniknews.cn/20260514/1071291985.html,sputniknews.cn,Chinese,,20260514T163000Z,2026-05-15T04:06:38.868194
operation,China,strike,"""China"" strike","  28분 멈췄는데 500억 … 삼성전자 파업 , 더 무서운 건  보이지 않는 손실  ",https://www.etoday.co.kr/news/view/2584606,etoday.co.kr,Korean,,20260514T083000Z,2026-05-15T04:06:38.868196
operation,China,strike,"""China"" strike",川習會將談科技貿易台灣 左右未來美中關係走向 | 國際,https://www.cna.com.tw/news/aopl/202605140044.aspx,cna.com.tw,Chinese,,20260514T041500Z,2026-05-15T04:06:38.868199
operation,China,strike,"""China"" strike",川習會今10時正式登場 中美雙方陪同人員曝光 | 國際,https://newtalk.tw/news/view/2026-05-14/1035053,newtalk.tw,Chinese,,20260514T040000Z,2026-05-15T04:06:38.868201
operation,China,strike,"""China"" strike",  삼성 총파업에 100조 잃을 수도    긴급조정권 검토론  부상,https://newsway.co.kr/news/view?ud=2026051416445261537,newsway.co.kr,Korean,,20260514T133000Z,2026-05-15T04:06:38.868203
